PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,9000,16.1,1.8,98.34
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8500,16.1,1.9,93.51
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,9000,20.8,2.3,91.13
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,8600,22.2,2.6,52.53
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6500,12.4,1.9,49.39
Jared Cook,TE,NO,HOU,-105,52.50,-7.00,29.75,6500,9.6,1.5,46.07
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,8300,20.5,2.5,41.27
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,6100,9.5,1.6,35.97
Kenny Stills,WR,HOU,@NO,-115,52.50,7.00,22.75,5200,7.7,1.5,24.63
Latavius Murray,RB,NO,HOU,-105,52.50,-7.00,29.75,6000,9.3,1.6,22.66
Tre'Quan Smith,WR,NO,HOU,-105,52.50,-7.00,29.75,5400,7.7,1.4,21.73
Carlos Hyde,RB,HOU,@NO,-115,52.50,7.00,22.75,5800,7.5,1.3,17.47
Ted Ginn,WR,NO,HOU,-105,52.50,-7.00,29.75,5000,6.8,1.4,16.99
Jordan Akins,TE,HOU,@NO,-115,52.50,7.00,22.75,4100,4.1,1.0,15.30
Darren Waller,TE,OAK,DEN,-110,43.00,2.50,20.25,5400,7.4,1.4,14.40
Tyrell Williams,WR,OAK,DEN,-110,43.00,2.50,20.25,5500,10.4,1.9,11.81
Emmanuel Sanders,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5700,10.1,1.8,11.13
Phillip Lindsay,RB,DEN,@OAK,-110,43.00,-2.50,22.75,7000,12.2,1.8,9.34
Josh Hill,TE,NO,HOU,-105,52.50,-7.00,29.75,4000,3.0,0.8,9.18
Noah Fant,TE,DEN,@OAK,-110,43.00,-2.50,22.75,5100,5.7,1.1,9.08
Josh Jacobs,RB,OAK,DEN,-110,43.00,2.50,20.25,6800,12.0,1.8,7.83
Courtland Sutton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5900,9.0,1.5,7.23
Jerell Adams,TE,HOU,@NO,-115,52.50,7.00,22.75,4000,2.0,0.5,6.51
Hunter Renfrow,WR,OAK,DEN,-110,43.00,2.50,20.25,4500,8.1,1.8,6.45
Jalen Richard,RB,OAK,DEN,-110,43.00,2.50,20.25,5100,10.0,2.0,5.95
Royce Freeman,RB,DEN,@OAK,-110,43.00,-2.50,22.75,5900,9.4,1.6,4.73
Ryan Grant,WR,OAK,DEN,-110,43.00,2.50,20.25,4500,7.3,1.6,4.36
Darren Fells,TE,HOU,@NO,-115,52.50,7.00,22.75,4000,1.1,0.3,4.02
Keith Kirkwood,WR,NO,HOU,-105,52.50,-7.00,29.75,4600,2.7,0.6,3.30
Derek Carr,QB,OAK,DEN,-110,43.00,2.50,20.25,7200,15.8,2.2,3.26
DaeSean Hamilton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5300,6.6,1.3,2.94
Joe Flacco,QB,DEN,@OAK,-110,43.00,-2.50,22.75,7000,15.3,2.2,2.84
Logan Paulsen,TE,HOU,@NO,-115,52.50,7.00,22.75,4000,0.4,0.1,2.54
Jeff Heuerman,TE,DEN,@OAK,-110,43.00,-2.50,22.75,4200,2.9,0.7,2.31
DeAndre Carter,WR,HOU,@NO,-115,52.50,7.00,22.75,4500,1.6,0.4,2.11
Austin Carr,WR,NO,HOU,-105,52.50,-7.00,29.75,4500,1.5,0.3,1.51
Taiwan Jones,RB,HOU,@NO,-115,52.50,7.00,22.75,4500,0.6,0.1,1.09
Tim Patrick,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4500,4.7,1.0,1.08
Dwayne Washington,RB,NO,HOU,-105,52.50,-7.00,29.75,4500,1.2,0.3,1.04
Deonte Harris,WR,NO,HOU,-105,52.50,-7.00,29.75,4500,0.9,0.2,1.03
J.J. Nelson,WR,OAK,DEN,-110,43.00,2.50,20.25,4500,4.7,1.0,0.88
Foster Moreau,TE,OAK,DEN,-110,43.00,2.50,20.25,4000,1.3,0.3,0.37
Troy Fumagalli,TE,DEN,@OAK,-110,43.00,-2.50,22.75,4000,0.8,0.2,0.21
DeAndre Washington,RB,OAK,DEN,-110,43.00,2.50,20.25,4500,3.0,0.7,0.10
Taysom Hill,QB,NO,HOU,-105,52.50,-7.00,29.75,6100,2.1,0.3,0.10
Devontae Booker,RB,DEN,@OAK,-110,43.00,-2.50,22.75,4500,2.2,0.5,0.06
Juwann Winfree,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4500,0.4,0.1,0.00