Name,Games,Points,Pts/G,REC,YDS,TD,TAR,Catch %,ATT,YDS,TD,Opp,Opp TEs This Week
49ers,16,156.10,9.8,58,631,5,86,67.4,0,0,0,@TB,"O.J. Howard, Cameron Brate"
Bears,16,162.10,10.1,69,641,5,109,63.3,0,0,0,GB,"Jimmy Graham, Marcedes Lewis"
Bengals,16,244.40,15.3,84,986,10,113,74.3,2,28,0,@SEA,"Will Dissly, Nick Vannett"
Bills,16,124.20,7.8,49,512,4,88,55.7,0,0,0,@NYJ,"Ryan Griffin, Daniel Brown"
Broncos,16,216.50,13.5,72,1035,6,113,63.7,0,0,0,@OAK,"Darren Waller, Foster Moreau"
Browns,16,244.80,15.3,100,1008,7,144,69.4,1,0,0,TEN,"Delanie Walker, Jonnu Smith"
Buccaneers,16,224.10,14.0,84,1061,5,115,73.0,1,10,0,SF,"George Kittle, Ross Dwelley"
Cardinals,16,140.40,8.8,60,599,3,84,71.4,3,25,0,DET,"Jesse James, T.J. Hockenson"
Chargers,16,181.40,11.3,74,744,5,121,61.2,0,0,0,IND,"Eric Ebron, Jack Doyle"
Chiefs,16,259.70,16.2,87,1067,10,123,70.7,0,0,0,@JAX,"Geoff Swaim, James O'Shaughnessy"
Colts,16,252.00,15.8,103,1194,5,129,79.8,2,26,0,@LAC,"Hunter Henry, Virgil Green"
Cowboys,16,224.50,14.0,88,918,7,122,72.1,1,-3,0,NYG,"Evan Engram, Rhett Ellison"
Dolphins,16,207.40,13.0,70,804,9,94,74.5,0,0,0,BAL,"Mark Andrews, Nick Boyle"
Eagles,16,148.70,9.3,67,697,2,97,69.1,0,0,0,WAS,"Vernon Davis, Jeremy Sprinkle"
Falcons,16,173.90,10.9,69,739,5,104,66.3,1,10,0,@MIN,"Kyle Rudolph, Irv Smith Jr."
Giants,16,215.90,13.5,81,959,6,119,68.1,0,0,0,@DAL,"Jason Witten, Blake Jarwin"
Jaguars,16,192.60,12.0,67,703,8,102,65.7,2,-7,1,KC,"Travis Kelce, Blake Bell"
Jets,16,132.20,8.3,47,547,5,75,62.7,1,-1,0,BUF,"Dawson Knox, Lee Smith"
Lions,16,182.60,11.4,64,746,7,93,68.8,0,0,0,@ARI,"Charles Clay, Maxx Williams"
Packers,16,168.60,10.5,67,776,4,93,72.0,0,0,0,@CHI,"Adam Shaheen, Ben Braunecker"
Panthers,16,228.30,14.3,80,913,9,111,72.1,0,0,0,LAR,"Tyler Higbee, Gerald Everett"
Patriots,16,207.20,13.0,71,832,8,116,61.2,0,0,0,PIT,"Vance McDonald, Xavier Grimble"
Raiders,16,240.00,15.0,75,1060,9,103,72.8,0,0,0,DEN,"Jeff Heuerman, Noah Fant"
Rams,16,233.70,14.6,81,1077,6,132,61.4,0,0,0,@CAR,"Greg Olsen, Ian Thomas"
Ravens,16,213.50,13.3,83,965,6,117,70.9,0,0,0,@MIA,"Mike Gesicki, Durham Smythe"
Redskins,16,162.90,10.2,69,699,4,105,65.7,0,0,0,@PHI,"Zach Ertz, Dallas Goedert"
Saints,16,147.70,9.2,55,626,5,94,58.5,1,1,0,HOU,"Darren Fells, Jordan Akins"
Seahawks,16,158.90,9.9,59,697,5,93,63.4,1,2,0,CIN,"C.J. Uzomah, Tyler Eifert"
Steelers,16,215.70,13.5,79,887,7,115,68.7,0,0,0,@NE,"Matt LaCosse, Ryan Izzo"
Texans,16,260.80,16.3,94,1078,9,128,73.4,1,0,0,@NO,"Jared Cook, Josh Hill"
Titans,16,145.60,9.1,66,646,2,101,65.3,1,0,0,@CLE,"David Njoku, Demetrius Harris"
Vikings,16,156.10,9.8,63,721,3,91,69.2,0,0,0,ATL,"Austin Hooper, Luke Stocker"