,,Fantasy,,Rushing,,,Receiving,,,,,This Week,
Name,Games,Points,Pts/G,ATT,YDS,TD,REC,YDS,TD,TAR,Catch %,Opp,Opp RBs This Week
Bears,16,212.00,13.3,302,1096,4,83,544,4,107,77.6,GB,"Aaron Jones, Jamaal Williams"
Ravens,16,214.40,13.4,294,1037,8,78,447,3,113,69.0,@MIA,"Kalen Ballage, Kenyan Drake, Mark Walton"
Titans,16,230.30,14.4,358,1544,6,66,399,0,97,68.0,@CLE,"Nick Chubb, Dontrell Hilliard, D'Ernest Johnson"
Saints,16,232.10,14.5,274,889,7,85,647,5,105,81.0,HOU,"Duke Johnson, Carlos Hyde, Taiwan Jones"
Texans,16,249.00,15.6,320,1000,8,83,646,6,116,71.6,@NO,"Alvin Kamara, Latavius Murray, Dwayne Washington"
Jaguars,16,251.90,15.7,326,1328,9,72,531,2,96,75.0,KC,"Damien Williams, LeSean McCoy, Darwin Thompson"
Panthers,16,258.70,16.2,305,1413,9,63,394,4,86,73.3,LAR,"Todd Gurley, Darrell Henderson, Malcolm Brown"
Cowboys,16,267.20,16.7,315,1211,9,100,741,3,123,81.3,NYG,"Saquon Barkley, Wayne Gallman"
Steelers,16,274.40,17.2,318,1287,12,65,497,4,92,70.7,@NE,"Sony Michel, James White, Rex Burkhead"
Eagles,16,279.40,17.5,258,1184,9,108,830,4,135,80.0,WAS,"Derrius Guice, Chris Thompson, Wendell Smallwood"
Vikings,16,279.80,17.5,360,1470,8,79,668,3,108,73.1,ATL,"Devonta Freeman, Ito Smith, Kenjon Barner"
Colts,16,282.80,17.7,352,1353,8,107,815,3,136,78.7,@LAC,"Austin Ekeler, Justin Jackson, Troymaine Pope"
Lions,16,288.70,18.0,334,1573,9,80,594,3,105,76.2,@ARI,"David Johnson, Chase Edmonds, D.J. Foster"
Patriots,16,288.80,18.1,316,1509,6,85,779,4,116,73.3,PIT,"James Conner, Jaylen Samuels, Benny Snell"
Redskins,16,289.80,18.1,336,1535,9,93,703,2,123,75.6,@PHI,"Jordan Howard, Miles Sanders, Darren Sproles"
Chargers,16,301.10,18.8,319,1375,11,100,856,2,124,80.6,IND,"Marlon Mack, Nyheim Hines, Jordan Wilkins"
Rams,16,302.30,18.9,331,1629,12,73,434,4,98,74.5,@CAR,"Christian McCaffrey, Reggie Bonnafon, Jordan Scarlett"
Jets,16,305.50,19.1,351,1514,12,70,581,4,96,72.9,BUF,"Frank Gore, Devin Singletary, T.J. Yeldon"
Seahawks,16,308.20,19.3,300,1364,8,94,878,6,120,78.3,CIN,"Joe Mixon, Giovani Bernard, Samaje Perine"
Broncos,16,310.00,19.4,370,1767,10,70,613,2,89,78.7,@OAK,"Josh Jacobs, DeAndre Washington, Jalen Richard"
Packers,16,313.80,19.6,360,1567,13,59,551,4,79,74.7,@CHI,"David Montgomery, Tarik Cohen, Mike Davis"
49ers,16,317.90,19.9,361,1476,13,94,743,3,125,75.2,@TB,"Peyton Barber, Ronald Jones, Dare Ogunbowale"
Browns,16,335.50,21.0,364,1734,14,79,721,1,107,73.8,TEN,"Derrick Henry, Dion Lewis, David Fluellen"
Bills,16,337.40,21.1,360,1496,17,83,618,4,115,72.2,@NYJ,"Le'Veon Bell, Ty Montgomery, Trenton Cannon"
Raiders,16,338.10,21.1,396,1899,13,54,522,3,76,71.1,DEN,"Phillip Lindsay, Royce Freeman, Devontae Booker"
Giants,16,338.65,21.2,359,1538,15,77,605,5,105,73.3,@DAL,"Ezekiel Elliott, Tony Pollard, Jordan Chunn"
Falcons,16,340.40,21.3,329,1534,12,120,970,3,144,83.3,@MIN,"Dalvin Cook, Alexander Mattison, Ameer Abdullah"
Buccaneers,16,343.10,21.4,338,1546,15,79,685,5,100,79.0,SF,"Matt Breida, Tevin Coleman, Raheem Mostert"
Dolphins,16,358.40,22.4,410,1841,14,75,723,3,104,72.1,BAL,"Mark Ingram, Gus Edwards, Justice Hill"
Chiefs,16,375.80,23.5,365,1815,14,87,803,5,109,79.8,@JAX,"Leonard Fournette, Ryquell Armstead, Tyler Ervin"
Bengals,16,390.80,24.4,367,1818,14,93,890,6,115,80.9,@SEA,"Chris Carson, Rashaad Penny, C.J. Prosise"
Cardinals,16,400.10,25.0,440,2160,20,69,521,2,84,82.1,DET,"Kerryon Johnson, C.J. Anderson, Ty Johnson"