"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Baltimore Ravens","","3.0","1.0","0.5","0.9","0.2","0.0","16.1","268.6","8.3"
"New England Patriots","","2.2","1.2","0.6","0.9","0.2","0.0","14.0","321.7","8.0"
"Houston Texans","","2.4","0.9","0.7","1.7","0.2","0.1","15.9","317.3","7.8"
"Carolina Panthers","","2.5","1.3","0.7","1.2","0.2","0.0","21.6","380.1","7.8"
"Chicago Bears","","2.5","0.9","0.5","0.9","0.2","0.0","18.5","305.4","7.6"
"Cleveland Browns","","2.6","1.0","0.7","1.4","0.2","0.1","22.2","309.8","7.3"
"Cincinnati Bengals","","2.7","0.9","0.7","1.2","0.2","0.0","22.3","368.2","7.1"
"Kansas City Chiefs","","2.9","0.7","0.8","1.8","0.2","0.0","23.6","368.8","7.0"
"Denver Broncos","","2.5","1.0","0.7","1.2","0.2","0.1","20.7","335.6","6.9"
"Jacksonville Jaguars","","3.2","0.9","0.6","0.9","0.1","0.0","25.3","346.0","6.9"
"New York Jets","","2.3","1.0","0.6","1.1","0.2","0.1","25.2","384.9","6.9"
"San Francisco 49ers","","2.7","1.0","0.6","0.8","0.2","0.0","23.6","312.7","6.9"
"Tennessee Titans","","2.4","0.7","0.5","0.7","0.1","0.0","19.1","324.7","6.8"
"Buffalo Bills","","2.7","0.8","0.7","1.2","0.2","0.0","20.2","311.9","6.7"
"New York Giants","","2.2","1.1","0.6","0.9","0.2","0.0","20.3","324.0","6.6"
"Minnesota Vikings","","3.4","0.5","0.5","0.9","0.1","0.0","22.7","328.1","6.5"
"Tampa Bay Buccaneers","","2.3","0.9","0.6","1.1","0.2","0.0","29.4","379.8","6.3"
"Washington Redskins","","2.8","0.7","0.7","1.2","0.1","0.0","24.9","358.5","6.3"
"Arizona Cardinals","","2.5","0.8","0.7","1.2","0.1","0.0","29.5","368.5","6.3"
"Pittsburgh Steelers","","3.0","0.6","0.6","0.7","0.1","0.0","20.8","328.8","6.3"
"New Orleans Saints","","2.5","0.7","0.6","1.1","0.1","0.1","27.2","390.7","6.2"
"Indianapolis Colts","","2.9","0.6","0.5","0.9","0.1","0.1","22.8","321.5","6.1"
"Detroit Lions","","2.5","0.8","0.6","1.0","0.1","0.0","24.7","373.6","6.1"
"Los Angeles Chargers","","2.5","0.8","0.6","1.1","0.2","0.0","21.6","343.5","6.1"
"Philadelphia Eagles","","2.6","0.7","0.6","0.9","0.1","0.0","23.8","376.5","6.1"
"Dallas Cowboys","","2.3","0.8","0.6","0.8","0.2","0.0","20.0","316.2","6.1"
"Seattle Seahawks","","1.9","0.9","0.6","1.4","0.2","0.1","24.4","386.2","6.0"
"Green Bay Packers","","2.6","0.7","0.6","1.0","0.1","0.0","20.2","335.0","6.0"
"Atlanta Falcons","","2.3","0.8","0.6","0.8","0.1","0.0","26.6","375.1","5.8"
"Los Angeles Rams","","1.7","0.7","0.6","1.3","0.2","0.0","25.2","383.5","5.2"
"Oakland Raiders","","1.6","0.7","0.5","0.6","0.1","0.0","31.8","433.1","4.8"
"Miami Dolphins","","1.6","0.7","0.5","0.7","0.1","0.0","33.4","438.0","4.6"
""
""