,,Fantasy,,Passing,,,,,Rushing,,,This Week,
Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,Opp,Opp QB This Week
49ers,1,10.06,10.1,20,36,194,1,3,5,13,0,@CIN,Andy Dalton
Bears,1,12.92,12.9,18,30,203,1,0,3,8,0,@DEN,Joe Flacco
Bengals,1,16.60,16.6,14,20,195,2,0,4,8,0,SF,Jimmy Garoppolo
Bills,1,13.00,13.0,28,41,175,1,0,1,0,0,@NYG,Eli Manning
Broncos,1,14.56,14.6,22,26,259,1,0,2,2,0,CHI,Mitchell Trubisky
Browns,1,24.12,24.1,14,24,248,3,0,5,22,0,@NYJ,Trevor Siemian
Buccaneers,1,11.44,11.4,18,27,166,1,1,2,-2,0,@CAR,Cam Newton
Cardinals,1,31.60,31.6,27,45,385,3,0,3,22,0,@BAL,Lamar Jackson
Chargers,1,16.50,16.5,21,27,190,2,0,3,9,0,@DET,Matthew Stafford
Chiefs,1,25.60,25.6,27,33,350,3,1,1,6,0,@OAK,Derek Carr
Colts,1,27.92,27.9,25,34,333,3,1,1,6,0,@TEN,Marcus Mariota
Cowboys,1,19.02,19.0,33,48,323,1,0,2,11,0,@WAS,Case Keenum
Dolphins,1,43.66,43.7,23,26,379,6,0,7,15,0,NE,Tom Brady
Eagles,1,30.20,30.2,30,44,380,3,0,0,0,0,@ATL,Matt Ryan
Falcons,1,14.32,14.3,8,10,98,1,0,6,4,1,PHI,Carson Wentz
Giants,1,36.40,36.4,25,32,405,4,0,4,12,0,BUF,Josh Allen
Jaguars,1,30.22,30.2,25,34,378,3,0,2,1,0,@HOU,Deshaun Watson
Jets,1,19.96,20.0,24,37,254,1,2,10,38,1,CLE,Baker Mayfield
Lions,1,25.62,25.6,29,54,308,2,1,3,13,0,LAC,Philip Rivers
Packers,1,9.22,9.2,26,45,228,0,1,3,11,0,MIN,Kirk Cousins
Panthers,1,10.44,10.4,23,39,186,1,1,4,0,0,TB,Jameis Winston
Patriots,1,10.74,10.7,27,47,276,0,1,1,7,0,@MIA,Ryan Fitzpatrick
Raiders,1,14.82,14.8,21,31,268,1,0,1,1,0,KC,Patrick Mahomes
Rams,1,7.36,7.4,25,38,239,0,1,3,-2,0,NO,Drew Brees
Ravens,1,10.40,10.4,15,32,190,1,2,1,8,0,ARI,Kyler Murray
Redskins,1,28.02,28.0,28,39,313,3,0,4,5,0,DAL,Dak Prescott
Saints,1,31.72,31.7,20,30,268,3,1,4,40,1,@LAR,Jared Goff
Seahawks,1,25.72,25.7,35,51,418,2,0,0,0,0,@PIT,Ben Roethlisberger
Steelers,1,28.64,28.6,24,36,341,3,0,0,0,0,SEA,Russell Wilson
Texans,1,33.50,33.5,32,43,370,2,1,2,8,0,JAX,Gardner Minshew
Titans,1,12.40,12.4,25,38,285,1,3,0,0,0,IND,Jacoby Brissett
Vikings,1,23.56,23.6,33,46,304,2,2,2,24,0,@GB,Aaron Rodgers